uniqid,zip,from.year,from.month,from.day,to.year,to.month,to.day
618,17039,2020,3,23,2020,5,24
619,17041,2020,3,23,2020,5,24
620,17043,2020,3,23,2020,5,24
621,17045,2020,3,23,2020,5,24
622,17047,2020,3,23,2020,5,24
623,17049,2020,3,23,2020,5,24
624,17051,2020,3,23,2020,5,24
625,17053,2020,3,23,2020,5,24
626,17055,2020,3,23,2020,5,24
627,17057,2020,3,23,2020,5,24
628,17059,2020,3,23,2020,5,24
629,17061,2020,3,23,2020,5,24
630,17063,2020,3,23,2020,5,24
631,17065,2020,3,23,2020,5,24
632,17067,2020,3,23,2020,5,24
633,17069,2020,3,23,2020,5,24
634,17071,2020,3,23,2020,5,24
635,17073,2020,3,23,2020,5,24
636,17075,2020,3,23,2020,5,24
637,17077,2020,3,23,2020,5,24
638,17079,2020,3,23,2020,5,24
639,17081,2020,3,23,2020,5,24
640,17083,2020,3,23,2020,5,24
641,17085,2020,3,23,2020,5,24
642,17087,2020,3,23,2020,5,24
643,17089,2020,3,23,2020,5,24
644,17091,2020,3,23,2020,5,24
645,17093,2020,3,23,2020,5,24
646,17095,2020,3,23,2020,5,24
647,17097,2020,3,23,2020,5,24
648,17099,2020,3,23,2020,5,24
649,17101,2020,3,23,2020,5,24
650,17103,2020,3,23,2020,5,24
651,17105,2020,3,23,2020,5,24
652,17107,2020,3,23,2020,5,24
653,17109,2020,3,23,2020,5,24
654,17111,2020,3,23,2020,5,24
655,17113,2020,3,23,2020,5,24
656,17115,2020,3,23,2020,5,24
657,17117,2020,3,23,2020,5,24
658,17119,2020,3,23,2020,5,24
659,17121,2020,3,23,2020,5,24
660,17123,2020,3,23,2020,5,24
661,17125,2020,3,23,2020,5,24
662,17127,2020,3,23,2020,5,24
663,17129,2020,3,23,2020,5,24
664,17131,2020,3,23,2020,5,24
665,17133,2020,3,23,2020,5,24
666,17135,2020,3,23,2020,5,24
667,17137,2020,3,23,2020,5,24
668,17139,2020,3,23,2020,5,24
669,17141,2020,3,23,2020,5,24
670,17143,2020,3,23,2020,5,24
671,17145,2020,3,23,2020,5,24
672,17147,2020,3,23,2020,5,24
673,17149,2020,3,23,2020,5,24
674,17151,2020,3,23,2020,5,24
675,17153,2020,3,23,2020,5,24
676,17155,2020,3,23,2020,5,24
677,17157,2020,3,23,2020,5,24
678,17159,2020,3,23,2020,5,24
679,17161,2020,3,23,2020,5,24
680,17163,2020,3,23,2020,5,24
681,17165,2020,3,23,2020,5,24
682,17167,2020,3,23,2020,5,24
683,17169,2020,3,23,2020,5,24
684,17171,2020,3,23,2020,5,24
685,17173,2020,3,23,2020,5,24
686,17175,2020,3,23,2020,5,24
687,17177,2020,3,23,2020,5,24
688,17179,2020,3,23,2020,5,24
689,17181,2020,3,23,2020,5,24
690,17183,2020,3,23,2020,5,24
691,17185,2020,3,23,2020,5,24
692,17187,2020,3,23,2020,5,24
693,17189,2020,3,23,2020,5,24
694,17191,2020,3,23,2020,5,24
695,17193,2020,3,23,2020,5,24
