,date,Province_State,Confirmed,Deaths,Recovered,Active
1289,2020-04-03,Arizona,1937,41.0,0.0,1896.0
1290,2020-04-03,Arkansas,704,12.0,0.0,692.0
1291,2020-04-03,California,12004,265.0,0.0,11739.0
1292,2020-04-03,Colorado,3742,97.0,0.0,3645.0
1293,2020-04-03,Connecticut,4914,131.0,0.0,4783.0
1294,2020-04-03,Delaware,450,14.0,0.0,436.0
1295,2020-04-03,District of Columbia,757,15.0,0.0,742.0
1296,2020-04-03,Florida,10268,170.0,0.0,10098.0
1297,2020-04-03,Georgia,5831,184.0,0.0,5647.0
1298,2020-04-03,Grand Princess,103,3.0,0.0,100.0
1299,2020-04-03,Guam,84,4.0,0.0,80.0
1300,2020-04-03,Hawaii,319,3.0,0.0,316.0
1301,2020-04-03,Idaho,891,9.0,0.0,882.0
1302,2020-04-03,Illinois,8904,210.0,0.0,8694.0
1303,2020-04-03,Indiana,3437,102.0,0.0,3335.0
1304,2020-04-03,Iowa,699,11.0,0.0,688.0
1305,2020-04-03,Kansas,629,18.0,0.0,611.0
1306,2020-04-03,Kentucky,770,34.0,0.0,736.0
1307,2020-04-03,Louisiana,10297,370.0,0.0,9927.0
1308,2020-04-03,Maine,432,9.0,0.0,423.0
1309,2020-04-03,Maryland,2758,43.0,0.0,2715.0
1310,2020-04-03,Massachusetts,10402,192.0,0.0,10210.0
1311,2020-04-03,Michigan,12744,479.0,0.0,12265.0
1312,2020-04-03,Minnesota,788,22.0,0.0,766.0
1313,2020-04-03,Mississippi,1358,29.0,0.0,1329.0
1314,2020-04-03,Missouri,1864,25.0,0.0,1839.0
1315,2020-04-03,Montana,243,5.0,0.0,238.0
1316,2020-04-03,Nebraska,279,6.0,0.0,273.0
1317,2020-04-03,Nevada,1514,43.0,0.0,1471.0
1318,2020-04-03,New Hampshire,479,5.0,0.0,474.0
1319,2020-04-03,New Jersey,29895,646.0,0.0,29249.0
1320,2020-04-03,New Mexico,534,10.0,0.0,524.0
1321,2020-04-03,New York,102987,2935.0,0.0,100052.0
1322,2020-04-03,North Carolina,2251,27.0,0.0,2224.0
1323,2020-04-03,North Dakota,173,3.0,0.0,170.0
1324,2020-04-03,Northern Mariana Islands,8,1.0,0.0,7.0
1325,2020-04-03,Ohio,3312,91.0,0.0,3221.0
1326,2020-04-03,Oklahoma,990,38.0,0.0,952.0
1327,2020-04-03,Oregon,899,22.0,0.0,877.0
1328,2020-04-03,Pennsylvania,8570,102.0,0.0,8468.0
1329,2020-04-03,Puerto Rico,316,15.0,0.0,301.0
1330,2020-04-03,Recovered,0,0.0,9707.0,-9707.0
1331,2020-04-03,Rhode Island,711,14.0,0.0,697.0
1332,2020-04-03,South Carolina,1700,34.0,0.0,1666.0
1333,2020-04-03,South Dakota,187,2.0,0.0,185.0
1334,2020-04-03,Tennessee,3067,41.0,0.0,3026.0
1335,2020-04-03,Texas,5734,100.0,0.0,5634.0
1336,2020-04-03,Utah,1255,7.0,0.0,1248.0
1337,2020-04-03,Vermont,389,17.0,0.0,372.0
1338,2020-04-03,Virgin Islands,37,0.0,0.0,37.0
1339,2020-04-03,Virginia,2012,46.0,0.0,1966.0
1340,2020-04-03,Washington,6846,291.0,0.0,6555.0
1341,2020-04-03,West Virginia,237,2.0,0.0,235.0
1342,2020-04-03,Wisconsin,2012,51.0,0.0,1961.0
1343,2020-04-03,Wyoming,162,0.0,0.0,162.0
1344,2020-04-04,Alabama,1614,44.0,0.0,1570.0
1345,2020-04-04,Alaska,171,5.0,0.0,166.0
1346,2020-04-04,Arizona,2187,52.0,0.0,2135.0
1347,2020-04-04,Arkansas,743,14.0,0.0,729.0
1348,2020-04-04,California,12837,289.0,0.0,12548.0
1349,2020-04-04,Colorado,4188,111.0,0.0,4077.0
1350,2020-04-04,Connecticut,5276,165.0,0.0,5111.0
1351,2020-04-04,Delaware,593,14.0,0.0,579.0
1352,2020-04-04,District of Columbia,902,21.0,0.0,881.0
1353,2020-04-04,Florida,11537,195.0,0.0,11342.0
1354,2020-04-04,Georgia,6160,201.0,0.0,5959.0
1355,2020-04-04,Grand Princess,103,3.0,0.0,100.0
1356,2020-04-04,Guam,93,4.0,0.0,89.0
1357,2020-04-04,Hawaii,351,3.0,0.0,348.0
1358,2020-04-04,Idaho,1022,10.0,0.0,1012.0
1359,2020-04-04,Illinois,10357,244.0,0.0,10113.0
1360,2020-04-04,Indiana,3953,116.0,0.0,3837.0
1361,2020-04-04,Iowa,787,14.0,0.0,773.0
1362,2020-04-04,Kansas,698,21.0,0.0,677.0
1363,2020-04-04,Kentucky,917,40.0,0.0,877.0
1364,2020-04-04,Louisiana,12496,409.0,0.0,12087.0
1365,2020-04-04,Maine,456,10.0,0.0,446.0
1366,2020-04-04,Maryland,3125,54.0,0.0,3071.0
1367,2020-04-04,Massachusetts,11736,216.0,0.0,11520.0
1368,2020-04-04,Michigan,14225,540.0,0.0,13685.0
1369,2020-04-04,Minnesota,865,24.0,0.0,841.0
1370,2020-04-04,Mississippi,1455,35.0,0.0,1420.0
1371,2020-04-04,Missouri,2310,33.0,0.0,2277.0
1372,2020-04-04,Montana,265,6.0,0.0,259.0
1373,2020-04-04,Nebraska,321,6.0,0.0,315.0
1374,2020-04-04,Nevada,1742,46.0,0.0,1696.0
1375,2020-04-04,New Hampshire,540,7.0,0.0,533.0
1376,2020-04-04,New Jersey,34124,846.0,0.0,33278.0
1377,2020-04-04,New Mexico,534,10.0,0.0,524.0
1378,2020-04-04,New York,113833,3565.0,0.0,110268.0
1379,2020-04-04,North Carolina,2486,34.0,0.0,2452.0
1380,2020-04-04,North Dakota,186,3.0,0.0,183.0
1381,2020-04-04,Northern Mariana Islands,8,1.0,0.0,7.0
1382,2020-04-04,Ohio,3739,102.0,0.0,3637.0
1383,2020-04-04,Oklahoma,1161,42.0,0.0,1119.0
1384,2020-04-04,Oregon,899,22.0,0.0,877.0
1385,2020-04-04,Pennsylvania,10444,136.0,0.0,10308.0
1386,2020-04-04,Puerto Rico,452,18.0,0.0,434.0
1387,2020-04-04,Recovered,0,0.0,14652.0,-14652.0
1388,2020-04-04,Rhode Island,806,17.0,0.0,789.0
1389,2020-04-04,South Carolina,1917,40.0,0.0,1877.0
1390,2020-04-04,South Dakota,212,2.0,0.0,210.0
1391,2020-04-04,Tennessee,3322,50.0,0.0,3272.0
1392,2020-04-04,Texas,6567,116.0,0.0,6451.0
1393,2020-04-04,Utah,1435,8.0,0.0,1427.0
1394,2020-04-04,Vermont,461,20.0,0.0,441.0
1395,2020-04-04,Virgin Islands,40,0.0,0.0,40.0
1396,2020-04-04,Virginia,2407,52.0,0.0,2355.0
1397,2020-04-04,Washington,7247,315.0,0.0,6932.0
1398,2020-04-04,West Virginia,282,2.0,0.0,280.0
1399,2020-04-04,Wisconsin,2030,54.0,0.0,1976.0
1400,2020-04-04,Wyoming,187,0.0,0.0,187.0
1401,2020-04-05,Alabama,1765,45.0,0.0,1720.0
1402,2020-04-05,Alaska,185,6.0,0.0,179.0
1403,2020-04-05,Arizona,2486,64.0,0.0,2422.0
1404,2020-04-05,Arkansas,837,16.0,0.0,821.0
1405,2020-04-05,California,15034,348.0,0.0,14686.0
1406,2020-04-05,Colorado,4950,140.0,0.0,4810.0
1407,2020-04-05,Connecticut,5675,189.0,0.0,5486.0
1408,2020-04-05,Delaware,673,14.0,0.0,659.0
1409,2020-04-05,District of Columbia,1002,22.0,0.0,980.0
1410,2020-04-05,Florida,12350,221.0,0.0,12129.0
1411,2020-04-05,Georgia,6647,211.0,0.0,6436.0
1412,2020-04-05,Grand Princess,103,3.0,0.0,100.0
1413,2020-04-05,Guam,112,4.0,0.0,108.0
1414,2020-04-05,Hawaii,371,4.0,0.0,367.0
1415,2020-04-05,Idaho,1078,10.0,0.0,1068.0
1416,2020-04-05,Illinois,11259,274.0,0.0,10985.0
1417,2020-04-05,Indiana,4411,127.0,0.0,4284.0
1418,2020-04-05,Iowa,869,18.0,0.0,851.0
1419,2020-04-05,Kansas,751,22.0,0.0,729.0
1420,2020-04-05,Kentucky,955,45.0,0.0,910.0
1421,2020-04-05,Louisiana,13010,477.0,0.0,12533.0
1422,2020-04-05,Maine,470,10.0,0.0,460.0
1423,2020-04-05,Maryland,3617,67.0,0.0,3550.0
1424,2020-04-05,Massachusetts,12500,231.0,0.0,12269.0
1425,2020-04-05,Michigan,15718,617.0,0.0,15101.0
1426,2020-04-05,Minnesota,935,29.0,0.0,906.0
1427,2020-04-05,Mississippi,1638,43.0,0.0,1595.0
1428,2020-04-05,Missouri,2347,44.0,0.0,2303.0
1429,2020-04-05,Montana,286,6.0,0.0,280.0
1430,2020-04-05,Nebraska,364,8.0,0.0,356.0
1431,2020-04-05,Nevada,1855,46.0,0.0,1809.0
1432,2020-04-05,New Hampshire,621,9.0,0.0,612.0
1433,2020-04-05,New Jersey,37505,917.0,0.0,36588.0
1434,2020-04-05,New Mexico,670,12.0,0.0,658.0
1435,2020-04-05,New York,123160,4159.0,0.0,119001.0
1436,2020-04-05,North Carolina,2649,38.0,0.0,2611.0
1437,2020-04-05,North Dakota,207,3.0,0.0,204.0
1438,2020-04-05,Northern Mariana Islands,8,1.0,0.0,7.0
1439,2020-04-05,Ohio,4043,119.0,0.0,3924.0
1440,2020-04-05,Oklahoma,1254,46.0,0.0,1208.0
1441,2020-04-05,Oregon,1068,27.0,0.0,1041.0
1442,2020-04-05,Pennsylvania,11589,151.0,0.0,11438.0
1443,2020-04-05,Puerto Rico,475,20.0,0.0,455.0
1444,2020-04-05,Recovered,0,0.0,17448.0,-17448.0
1445,2020-04-05,Rhode Island,922,25.0,0.0,897.0
1446,2020-04-05,South Carolina,2049,44.0,0.0,2005.0
1447,2020-04-05,South Dakota,240,2.0,0.0,238.0
1448,2020-04-05,Tennessee,3633,53.0,0.0,3580.0
1449,2020-04-05,Texas,7209,136.0,0.0,7073.0
1450,2020-04-05,Utah,1608,8.0,0.0,1600.0
1451,2020-04-05,Vermont,512,22.0,0.0,490.0
1452,2020-04-05,Virgin Islands,42,1.0,0.0,41.0
1453,2020-04-05,Virginia,2640,52.0,0.0,2588.0
1454,2020-04-05,Washington,7825,336.0,0.0,7489.0
1455,2020-04-05,West Virginia,324,3.0,0.0,321.0
1456,2020-04-05,Wisconsin,2320,74.0,0.0,2246.0
1457,2020-04-05,Wyoming,197,0.0,0.0,197.0
1458,2020-04-06,Alabama,1952,49.0,0.0,1903.0
1459,2020-04-06,Alaska,190,6.0,0.0,184.0
1460,2020-04-06,Arizona,2732,65.0,0.0,2667.0
1461,2020-04-06,Arkansas,875,16.0,0.0,859.0
1462,2020-04-06,California,16019,380.0,0.0,15639.0
1463,2020-04-06,Colorado,5183,150.0,0.0,5033.0
1464,2020-04-06,Connecticut,6906,206.0,0.0,6700.0
1465,2020-04-06,Delaware,783,15.0,0.0,768.0
1466,2020-04-06,District of Columbia,1097,24.0,0.0,1073.0
1467,2020-04-06,Florida,13324,236.0,0.0,13088.0
1468,2020-04-06,Georgia,7314,229.0,0.0,7085.0
1469,2020-04-06,Grand Princess,103,3.0,0.0,100.0
1470,2020-04-06,Guam,113,4.0,0.0,109.0
1471,2020-04-06,Hawaii,387,5.0,0.0,382.0
1472,2020-04-06,Idaho,1101,10.0,0.0,1091.0
1473,2020-04-06,Illinois,12262,307.0,0.0,11955.0
1474,2020-04-06,Indiana,4956,143.0,0.0,4813.0
1475,2020-04-06,Iowa,946,25.0,0.0,921.0
1476,2020-04-06,Kansas,849,25.0,0.0,824.0
1477,2020-04-06,Kentucky,955,45.0,0.0,910.0
1478,2020-04-06,Louisiana,14867,512.0,0.0,14355.0
1479,2020-04-06,Maine,499,10.0,0.0,489.0
1480,2020-04-06,Maryland,4045,91.0,0.0,3954.0
1481,2020-04-06,Massachusetts,13837,260.0,0.0,13577.0
1482,2020-04-06,Michigan,17221,727.0,0.0,16494.0
1483,2020-04-06,Minnesota,986,30.0,0.0,956.0
1484,2020-04-06,Mississippi,1738,51.0,0.0,1687.0
1485,2020-04-06,Missouri,2736,47.0,0.0,2689.0
1486,2020-04-06,Montana,299,6.0,0.0,293.0
1487,2020-04-06,Nebraska,417,9.0,0.0,408.0
1488,2020-04-06,Nevada,1953,46.0,0.0,1907.0
1489,2020-04-06,New Hampshire,715,9.0,0.0,706.0
1490,2020-04-06,New Jersey,41090,1003.0,0.0,40087.0
1491,2020-04-06,New Mexico,757,12.0,0.0,745.0
