date,Max,Avg,Min,State
2020/5/8,80,66.9,59,Louisiana
2020/5/8,56,47.2,38,Maine
2020/5/8,62,52.6,41,Maryland
2020/5/8,56,48.8,43,Massachusetts
2020/5/8,42,37.4,31,Michigan
2020/5/8,49,42.5,35,Minnesota
2020/5/8,65,62.8,58,Mississippi 
2020/5/8,59,52.1,46,Missouri
2020/5/8,58,45.9,37,Montana
2020/5/8,59,48.5,37,Nebraska 
2020/5/8,83,65.1,43,Nevada
2020/5/8,59,50.7,43,New Hampshire
2020/5/8,57,46.1,37,New Jersey
2020/5/8,65,54.7,44,New Mexico
2020/5/8,58,48.8,44,New York
2020/5/8,67,55.8,45,North Carolina
2020/5/8,61,46.1,26,North Dakota
2020/5/8,56,47.2,35,Ohio
2020/5/8,65,58.5,52,Oklahoma
2020/5/8,82,66.8,46,Oregon
2020/5/8,53,39.8,32,Wyoming
2020/5/8,46,38.5,31,Wisconsin
2020/5/8,56,48.3,36,West Virginia
2020/5/8,79,67,51,Washington
2020/5/8,69,57.3,46,Virginia
2020/5/8,51,40.4,34,Vermont
2020/5/8,71,58.6,45,Utah
2020/5/8,86,76.1,65,Texas
2020/5/8,59,55.1,46,Tennessee
2020/5/8,59,44.7,29,South Dakota
2020/5/8,71,56.8,44,South Carolina
2020/5/8,57,49,44,Rhode Island
2020/5/8,56,46.4,38,Pennsylvania
2020/5/9,70,58.9,49,Alabama
2020/5/9,76,56.3,40,Alaska
2020/5/9,100,90.3,78,Arizona 
2020/5/9,66,55.9,45, Arkansas
2020/5/9,93,72.8,58,California
2020/5/9,59,50,40,Colorado
2020/5/9,48,38.1,33,Connecticut 
2020/5/9,48,40.4,34,Delaware
2020/5/9,79,69.5,63,Florida
2020/5/9,64,54,44,Georgia
2020/5/9,84,77.1,70,Hawaii
2020/5/9,80,64.9,49,Idaho
2020/5/9,62,49.5,33,Illinois
2020/5/9,54,43,28,Indiana
2020/5/9,66,51,36,Iowa
2020/5/9,63,51.3,35,Kansas
2020/5/9,54,42.1,29,Kentucky
2020/5/9,68,61.4,57,Louisiana
2020/5/9,43,35,32,Maine
2020/5/9,51,42.6,35,Maryland
2020/5/9,43,39.8,36,Massachusetts
2020/5/9,50,39.3,25,Michigan
2020/5/9,59,44.5,35,Minnesota
2020/5/9,68,58.1,51,Mississippi 
2020/5/9,64,53.1,39,Missouri
2020/5/9,61,48.8,37,Montana
2020/5/9,69,49.2,35,Nebraska 
2020/5/9,86,69.4,50,Nevada
2020/5/9,43,38.9,34,New Hampshire
2020/5/9,45,39.1,32,New Jersey
2020/5/9,79,61,38,New Mexico
2020/5/9,48,41.4,36,New York
2020/5/9,63,50.5,40,North Carolina
2020/5/9,49,41.4,37,North Dakota
2020/5/9,49,40.3,30,Ohio
2020/5/9,68,56,41,Oklahoma
2020/5/9,85,69.3,50,Oregon
2020/5/9,47,39.9,36,Wyoming
2020/5/9,59,46,27,Wisconsin
2020/5/9,53,41.4,35,West Virginia
2020/5/9,86,74.4,63,Washington
2020/5/9,59,46.9,34,Virginia
2020/5/9,41,34.9,32,Vermont
2020/5/9,75,62.4,47,Utah
2020/5/9,77,67.8,56,Texas
2020/5/9,63,51.1,35,Tennessee
2020/5/9,48,41.7,30,South Dakota
2020/5/9,67,56.7,45,South Carolina
2020/5/9,46,41.1,36,Rhode Island
2020/5/9,44,39.4,33,Pennsylvania
2020/5/10,79,62.5,45,Alabama
2020/5/10,74,59,43,Alaska
2020/5/10,100,88.1,82,Arizona 
2020/5/10,77,61.8,46, Arkansas
2020/5/10,80,64.8,53,California
2020/5/10,64,49.3,33,Colorado
2020/5/10,61,48.8,31,Connecticut 
2020/5/10,62,50.4,35,Delaware
2020/5/10,82,70.8,62,Florida
2020/5/10,74,59.9,44,Georgia
2020/5/10,86,78,71,Hawaii
2020/5/10,85,68.8,51,Idaho
2020/5/10,53,50,46,Illinois
2020/5/10,61,49.6,39,Indiana
2020/5/10,52,46.5,41,Iowa
2020/5/10,62,51,40,Kansas
2020/5/10,63,52,39,Kentucky
2020/5/10,79,66.7,56,Louisiana
2020/5/10,49,42.2,35,Maine
2020/5/10,65,52.1,37,Maryland
2020/5/10,60,47.7,34,Massachusetts
2020/5/10,55,45.7,37,Michigan
2020/5/10,48,42,38,Minnesota
2020/5/10,76,60.5,44,Mississippi 
2020/5/10,59,51.7,45,Missouri
2020/5/10,54,47.6,42,Montana
2020/5/10,57,47.2,37,Nebraska 
2020/5/10,82,67.5,50,Nevada
2020/5/10,59,47.3,37,New Hampshire
2020/5/10,62,49,31,New Jersey
2020/5/10,74,62,47,New Mexico
2020/5/10,65,53.7,42,New York
2020/5/10,70,55.3,38,North Carolina
2020/5/10,50,40.4,31,North Dakota
2020/5/10,62,47.2,37,Ohio
2020/5/10,66,57.8,51,Oklahoma
2020/5/10,83,65.6,52,Oregon
2020/5/10,56,43.3,32,Wyoming
2020/5/10,53,41.9,34,Wisconsin
2020/5/10,67,49.5,31,West Virginia
2020/5/10,87,76.8,64,Washington
2020/5/10,67,51.3,33,Virginia
2020/5/10,52,43.4,37,Vermont
2020/5/10,84,68.8,50,Utah
2020/5/10,81,65.7,52,Texas
2020/5/10,72,57.3,41,Tennessee
2020/5/10,51,39.7,29,South Dakota
2020/5/10,74,59.6,42,South Carolina
2020/5/10,61,47.7,34,Rhode Island
2020/5/10,63,49.6,30,Pennsylvania
2020/5/11,77,62.8,47,Alabama
2020/5/11,70,55.6,39,Alaska
2020/5/11,98,88,76,Arizona 
2020/5/11,67,58,50, Arkansas
2020/5/11,75,61.5,53,California
2020/5/11,53,40.7,36,Colorado
2020/5/11,58,47.9,34,Connecticut 
2020/5/11,61,51.6,42,Delaware
2020/5/11,84,71,55,Florida
2020/5/11,68,59.8,51,Georgia
2020/5/11,84,77.5,73,Hawaii
2020/5/11,82,70.1,57,Idaho
2020/5/11,56,48.9,41,Illinois
2020/5/11,49,42.2,36,Indiana
2020/5/11,58,49.7,43,Iowa
2020/5/11,49,44.9,35,Kansas
2020/5/11,50,44,35,Kentucky
2020/5/11,82,69,53,Louisiana
2020/5/11,62,48.4,39,Maine
2020/5/11,60,52.5,45,Maryland
2020/5/11,61,50.4,45,Massachusetts
2020/5/11,46,38.1,33,Michigan
2020/5/11,55,47.2,40,Minnesota
2020/5/11,76,63.3,50,Mississippi 
2020/5/11,57,48.5,37,Missouri
2020/5/11,45,27.8,0,Montana
2020/5/11,51,45.5,36,Nebraska 
2020/5/11,73,62.7,55,Nevada
2020/5/11,64,51.6,42,New Hampshire
2020/5/11,57,50,42,New Jersey
2020/5/11,68,57.6,48,New Mexico
2020/5/11,59,53.7,47,New York
2020/5/11,66,58.1,47,North Carolina
2020/5/11,51,40.3,24,North Dakota
2020/5/11,45,41.1,37,Ohio
2020/5/11,62,54.8,50,Oklahoma
2020/5/11,65,56.6,50,Oregon
2020/5/11,46,36.9,29,Wyoming
2020/5/11,52,43.5,34,Wisconsin
2020/5/11,50,44.7,42,West Virginia
2020/5/11,72,61,54,Washington
2020/5/11,66,57.2,45,Virginia
2020/5/11,54,43.4,37,Vermont
2020/5/11,85,74,65,Utah
2020/5/11,84,71,54,Texas
2020/5/11,65,54.2,42,Tennessee
2020/5/11,51,40.2,24,South Dakota
2020/5/11,72,62.7,52,South Carolina
2020/5/11,57,51.1,41,Rhode Island
2020/5/11,56,49.4,45,Pennsylvania
2020/5/12,80,65.3,49,Alabama
2020/5/12,70,55.8,37,Alaska
2020/5/12,94,84.5,73,Arizona 
2020/5/12,54,51.4,49, Arkansas
2020/5/12,70,61,55,California
2020/5/12,75,50.4,39,Colorado
2020/5/12,56,47.3,39,Connecticut 
2020/5/12,59,50.2,40,Delaware
2020/5/12,83,69.8,55,Florida
2020/5/12,73,61.2,49,Georgia
2020/5/12,86,76.9,70,Hawaii
2020/5/12,66,60.9,52,Idaho
2020/5/12,62,50,36,Illinois
2020/5/12,60,49.4,35,Indiana
2020/5/12,61,52.3,44,Iowa
2020/5/12,52,47.7,43,Kansas
2020/5/12,60,49,35,Kentucky
2020/5/12,82,61.6,0,Louisiana
2020/5/12,51,45.4,40,Maine
2020/5/12,61,50.6,39,Maryland
2020/5/12,55,48.6,41,Massachusetts
2020/5/12,57,44.8,31,Michigan
2020/5/12,57,47.5,34,Minnesota
2020/5/12,81,64.8,0,Mississippi 
2020/5/12,54,49.7,46,Missouri
2020/5/12,52,16.1,0,Montana
2020/5/12,61,51.7,45,Nebraska 
2020/5/12,60,54.1,49,Nevada
2020/5/12,55,48.2,42,New Hampshire
2020/5/12,58,50.5,43,New Jersey
2020/5/12,76,62.2,41,New Mexico
2020/5/12,59,52,45,New York
2020/5/12,65,52.2,38,North Carolina
2020/5/12,54,42,30,North Dakota
2020/5/12,57,47,32,Ohio
2020/5/12,53,49.3,47,Oklahoma
2020/5/12,61,53.8,50,Oregon
2020/5/12,59,42.6,34,Wyoming
2020/5/12,59,46.7,32,Wisconsin
2020/5/12,60,49.5,41,West Virginia
2020/5/12,64,56,51,Washington
2020/5/12,63,52.8,41,Virginia
2020/5/12,50,42.3,36,Vermont
2020/5/12,75,69.8,60,Utah
2020/5/12,74,69,66,Texas
2020/5/12,62,54.8,48,Tennessee
2020/5/12,47,43.1,39,South Dakota
2020/5/12,70,58.3,42,South Carolina
2020/5/12,57,48.7,41,Rhode Island
2020/5/12,59,51.2,44,Pennsylvania
2020/5/13,88,71,53,Alabama
2020/5/13,71,57.3,40,Alaska
2020/5/13,89,80.3,72,Arizona 
2020/5/13,81,66.5,54, Arkansas
2020/5/13,68,59.6,50,California
2020/5/13,78,61.6,44,Colorado
2020/5/13,60,48.5,35,Connecticut 
2020/5/13,64,52.3,39,Delaware
2020/5/13,87,74.5,59,Florida
2020/5/13,79,67.4,56,Georgia
2020/5/13,83,77.4,72,Hawaii
2020/5/13,62,52.6,44,Idaho
2020/5/13,55,51.6,46,Illinois
2020/5/13,59,53.4,44,Indiana
2020/5/13,56,51.4,45,Iowa
2020/5/13,70,56.5,48,Kansas
2020/5/13,53,50.7,48,Kentucky
2020/5/13,85,75.1,64,Louisiana
2020/5/13,54,45.9,36,Maine
2020/5/13,70,56.1,37,Maryland
2020/5/13,59,49.7,38,Massachusetts
2020/5/13,61,47.5,30,Michigan
2020/5/13,62,53.2,49,Minnesota
2020/5/13,85,72.3,61,Mississippi 
2020/5/13,63,55.3,49,Missouri
2020/5/13,64,20.8,0,Montana
2020/5/13,55,52.3,50,Nebraska 
2020/5/13,62,52.3,44,Nevada
2020/5/13,60,49.5,38,New Hampshire
2020/5/13,63,51.4,35,New Jersey
2020/5/13,78,61.7,44,New Mexico
2020/5/13,63,52.2,43,New York
